ID,tipo_producto,temp_idx,Sex,inception_date,birth_date,sum_insured,tariff_grp,country,reins_name,annual_prem,prem_frecuency,comission_precentage
2756,Vitalicio,,Male,01/06/2021,19/12/1972,436753,3,Ecuador,Everest Re,10925.31,Trimestral,10.3
2757,Vitalicio,,Male,29/11/2021,06/12/1979,170333,2,Uruguay,Hannover Re,35217.81,Trimestral,21.6
2758,Temporal,3,Female,30/03/2020,21/11/1968,948495,8,Peru,Munich Re,7652.64,Anual,21.8
2759,Vitalicio,,Female,03/01/2023,09/12/1970,570338,5,Colombia,Everest Re,42473.32,Anual,15.9
2760,Vitalicio,,Female,19/09/2024,04/10/1953,609622,1,Uruguay,Lloyds,23578.08,Anual,20.3
2761,Temporal,1,Female,15/11/2022,26/04/1960,559196,3,Ecuador,Everest Re,880.87,Mensual,18.3
2762,Temporal,3,Male,19/07/2024,04/02/1963,665631,1,Mexico,SCOR,35849.11,Mensual,10
2763,Temporal,1,Male,05/10/2022,29/07/1954,770846,6,Argentina,Swiss Re,2816.46,Anual,17.8
2764,Temporal,5,Male,22/10/2024,24/10/1953,533668,7,Mexico,Hannover Re,4570.89,Trimestral,21.3
2765,Temporal,1,Male,18/07/2021,22/11/1978,394786,5,Colombia,Everest Re,29371.2,Anual,5.5
2766,Vitalicio,,Male,22/04/2021,18/03/1950,634473,1,Ecuador,Swiss Re,31279.98,Anual,22.7
2767,Temporal,1,Male,20/04/2021,10/04/1951,285873,8,Uruguay,Hannover Re,37339.76,Anual,7.5
2768,Temporal,2,Female,06/05/2020,03/11/1963,310048,3,Ecuador,Everest Re,33649.51,Mensual,12.1
2769,Temporal,1,Male,28/10/2021,25/09/1970,167226,5,Brasil,Munich Re,1968.21,Trimestral,11.2
2770,Temporal,3,Male,17/02/2020,06/11/1952,19344,7,Chile,Lloyds,48613.57,Mensual,16.5
2771,Vitalicio,,Male,03/01/2024,25/06/1985,447158,7,Uruguay,SCOR,2695.66,Semestral,11.2
2772,Temporal,4,Male,08/11/2024,21/09/1964,716990,7,Chile,Hannover Re,22017.63,Mensual,15.7
2773,Temporal,5,Female,02/10/2021,26/10/1974,884129,7,Peru,Partner Re,19126.44,Trimestral,14.5
2774,Temporal,4,Female,04/11/2023,15/07/1969,741313,6,Uruguay,Hannover Re,23137.71,Mensual,17.4
2775,Vitalicio,,Female,19/07/2022,27/08/1955,509012,5,Argentina,SCOR,34602.72,Semestral,14.8
2776,Vitalicio,,Female,11/07/2021,06/07/1973,313172,7,Mexico,Partner Re,21686.79,Anual,20
2777,Temporal,1,Female,12/11/2023,14/11/1963,12684,8,Brasil,Lloyds,46412.77,Mensual,22.7
2778,Vitalicio,,Male,29/09/2021,16/08/1956,365563,8,Uruguay,Lloyds,8340.28,Semestral,10.9
2779,Temporal,4,Female,14/05/2021,30/10/1964,303224,4,Ecuador,Berkshire Re,15038.49,Semestral,14.7
2780,Vitalicio,,Female,21/01/2022,27/01/1964,250815,5,Ecuador,Munich Re,10635.81,Mensual,20.9
2781,Vitalicio,,Female,07/10/2021,19/01/1967,164961,5,Chile,Lloyds,35265.19,Semestral,24.8
2782,Vitalicio,,Female,26/08/2023,02/02/1951,232877,8,Argentina,Hannover Re,44001.11,Mensual,5.1
2783,Vitalicio,,Male,27/07/2020,21/11/1982,813775,5,Uruguay,Partner Re,26858.39,Trimestral,10.6
2784,Vitalicio,,Male,30/04/2024,09/04/1965,619325,5,Brasil,Partner Re,36581.06,Semestral,21.6
2785,Temporal,4,Female,20/03/2023,28/04/1978,64568,1,Peru,Hannover Re,32217.9,Semestral,6.9
2786,Temporal,2,Male,05/12/2023,02/11/1963,922295,6,Argentina,SCOR,18386.67,Anual,15.9
2787,Vitalicio,,Female,09/07/2022,12/06/1984,987927,3,Argentina,Berkshire Re,48248.07,Semestral,19.2
2788,Vitalicio,,Male,27/07/2022,06/11/1974,799464,7,Peru,Munich Re,44534.85,Semestral,12.6
2789,Vitalicio,,Male,12/03/2022,23/03/1976,694360,3,Colombia,Berkshire Re,48326.32,Trimestral,8.7
2790,Temporal,5,Female,11/02/2024,09/11/1981,237853,3,Chile,Hannover Re,14297.99,Mensual,12.4
2791,Temporal,5,Male,05/09/2024,16/06/1967,755868,7,Chile,Everest Re,41573,Anual,12.8
2792,Vitalicio,,Male,07/01/2021,24/12/1965,207618,6,Chile,Swiss Re,22239.79,Mensual,19
2793,Vitalicio,,Male,23/06/2021,28/08/1986,533128,2,Peru,Hannover Re,38960.95,Anual,15.3
2794,Vitalicio,,Male,29/03/2020,20/05/1971,427741,2,Peru,Swiss Re,10158.44,Trimestral,9
2795,Vitalicio,,Male,18/07/2020,09/09/1976,827341,3,Mexico,Everest Re,28577.29,Anual,11.9
2796,Vitalicio,,Male,16/05/2021,14/07/1973,528229,8,Mexico,Lloyds,37439.23,Anual,12.9
2797,Temporal,1,Female,08/08/2020,10/08/1985,557116,2,Mexico,Lloyds,705.5,Trimestral,6
2798,Vitalicio,,Male,23/05/2021,18/12/1958,993341,7,Peru,Munich Re,27966.5,Trimestral,18.6
2799,Vitalicio,,Male,07/02/2020,28/03/1988,802203,3,Chile,Berkshire Re,44845.94,Trimestral,8.7
2800,Temporal,1,Male,16/03/2020,08/08/1961,979413,2,Ecuador,Berkshire Re,30602.13,Trimestral,19.7
2801,Vitalicio,,Female,19/10/2022,04/08/1970,634322,4,Argentina,Lloyds,39196.43,Trimestral,14.9
2802,Temporal,5,Female,22/10/2020,01/05/1964,289436,9,Ecuador,Swiss Re,27638.45,Anual,22.5
2803,Temporal,1,Female,01/11/2024,20/06/1977,729974,8,Mexico,Everest Re,22177.05,Semestral,17.2
2804,Temporal,5,Female,28/12/2020,31/01/1952,796922,1,Peru,Berkshire Re,17847.45,Trimestral,15.3
2805,Temporal,4,Female,13/07/2020,25/03/1967,644252,5,Peru,Partner Re,12409.12,Mensual,17.6
2806,Vitalicio,,Female,05/08/2020,17/05/1981,415010,9,Chile,Berkshire Re,23865.26,Trimestral,20.5
2807,Vitalicio,,Male,03/09/2020,23/05/1986,667838,9,Ecuador,Swiss Re,49000.59,Trimestral,12.5
2808,Temporal,2,Female,26/12/2024,17/10/1962,694129,7,Ecuador,SCOR,14377.8,Mensual,12
2809,Vitalicio,,Female,19/05/2024,23/09/1953,872037,5,Uruguay,Berkshire Re,32401.98,Semestral,17.5
2810,Vitalicio,,Female,18/11/2021,14/12/1959,814135,7,Uruguay,Swiss Re,23289.66,Anual,8.7
2811,Vitalicio,,Male,04/02/2020,24/04/1953,872563,6,Uruguay,Berkshire Re,46375.39,Anual,22.6
2812,Vitalicio,,Male,16/12/2022,10/08/1966,421264,7,Argentina,Munich Re,20142.29,Trimestral,23
2813,Temporal,4,Male,30/10/2022,03/04/1987,182565,3,Mexico,Everest Re,29805.44,Anual,14
2814,Vitalicio,,Male,13/09/2022,04/05/1988,766767,4,Mexico,Everest Re,41672.5,Anual,10.5
2815,Temporal,5,Female,07/08/2020,31/10/1982,235260,10,Brasil,Berkshire Re,25123.8,Mensual,24.7
2816,Temporal,3,Female,30/04/2021,05/05/1970,115675,7,Argentina,Everest Re,22967.64,Anual,10.7
2817,Temporal,5,Female,27/05/2022,03/04/1967,881134,10,Argentina,Everest Re,4905.83,Anual,14.8
2818,Temporal,2,Male,17/01/2023,04/10/1959,855138,3,Argentina,Partner Re,2982.86,Mensual,22.9
2819,Vitalicio,,Female,06/08/2022,10/01/1979,846255,2,Brasil,Lloyds,30014.48,Semestral,10.4
2820,Temporal,5,Male,05/01/2023,29/08/1961,303067,1,Uruguay,Munich Re,3932.09,Semestral,12.4
2821,Vitalicio,,Male,02/09/2021,26/04/1954,23328,10,Brasil,Lloyds,11186.96,Trimestral,14.6
2822,Vitalicio,,Female,21/07/2024,06/10/1960,916602,9,Uruguay,Everest Re,16486.15,Anual,17.1
2823,Temporal,3,Male,27/12/2023,11/04/1987,618901,1,Mexico,Berkshire Re,17346.19,Mensual,20.5
2824,Vitalicio,,Male,15/08/2022,18/04/1952,973302,6,Brasil,Partner Re,29977.32,Mensual,22.1
2825,Temporal,4,Male,13/06/2020,07/12/1952,613077,7,Uruguay,Berkshire Re,29739.29,Mensual,15.5
2826,Temporal,1,Female,03/12/2023,31/01/1962,368366,3,Uruguay,Hannover Re,20745.23,Anual,9.5
2827,Vitalicio,,Male,16/01/2020,19/12/1988,673651,5,Chile,Munich Re,15465.74,Trimestral,13.5
2828,Vitalicio,,Female,02/09/2020,12/05/1959,109147,4,Peru,Munich Re,2324.27,Anual,18.2
2829,Vitalicio,,Female,27/04/2021,29/01/1955,640877,2,Mexico,Swiss Re,40674.62,Anual,23.5
2830,Vitalicio,,Male,22/02/2020,04/03/1981,849721,6,Peru,Everest Re,38332.03,Trimestral,16.2
2831,Temporal,1,Male,27/07/2020,01/06/1976,595435,2,Uruguay,Munich Re,1494.65,Anual,13.1
2832,Temporal,1,Male,21/06/2024,01/09/1988,161771,1,Uruguay,Swiss Re,801.19,Mensual,9.7
2833,Temporal,2,Female,03/05/2024,30/10/1982,394057,5,Chile,Lloyds,23806.74,Trimestral,19.3
2834,Vitalicio,,Male,17/08/2020,30/04/1963,37720,6,Argentina,Everest Re,41629.2,Mensual,12.4
2835,Vitalicio,,Female,07/06/2023,16/05/1956,675284,10,Chile,Munich Re,25443.89,Semestral,16.4
2836,Temporal,5,Male,11/01/2024,12/09/1965,802364,4,Colombia,Swiss Re,31034.39,Semestral,18.6
2837,Temporal,4,Male,08/07/2021,18/03/1950,315657,4,Argentina,Munich Re,10715.78,Mensual,8.5
2838,Vitalicio,,Male,22/11/2022,22/12/1988,865101,5,Uruguay,Berkshire Re,27050.37,Semestral,20.6
2839,Temporal,5,Female,28/10/2022,29/03/1975,83441,9,Mexico,Hannover Re,11401.01,Mensual,12.6
2840,Temporal,2,Male,05/10/2020,02/07/1962,938043,8,Chile,SCOR,30128.25,Mensual,20.1
2841,Temporal,3,Male,08/12/2021,06/01/1967,27165,1,Uruguay,Lloyds,13201.41,Anual,8
2842,Temporal,5,Male,25/01/2024,06/09/1965,722711,8,Argentina,Everest Re,8620.95,Semestral,12.6
2843,Temporal,2,Female,09/08/2024,14/05/1955,732955,6,Brasil,Everest Re,7274.85,Anual,11
2844,Vitalicio,,Male,04/05/2020,04/02/1967,834433,4,Ecuador,Berkshire Re,34952.3,Trimestral,16.7
2845,Vitalicio,,Female,11/07/2022,06/05/1972,876112,4,Peru,Berkshire Re,40787.55,Anual,5.9
2846,Temporal,1,Female,01/12/2024,19/10/1952,963119,1,Brasil,Berkshire Re,4847.51,Mensual,10.3
2847,Vitalicio,,Male,02/03/2023,02/07/1967,815393,8,Uruguay,Munich Re,18121.56,Anual,13.2
2848,Temporal,1,Female,20/05/2023,28/01/1980,187366,2,Brasil,Munich Re,1177.19,Mensual,8.9
2849,Temporal,2,Male,30/04/2022,27/01/1955,927581,10,Peru,SCOR,32423.94,Mensual,20.3
2850,Vitalicio,,Female,11/11/2021,07/03/1965,279348,8,Chile,SCOR,19066.93,Mensual,7.9
2851,Temporal,4,Male,30/04/2020,26/02/1956,746104,8,Uruguay,Lloyds,16673.55,Trimestral,24.3
2852,Vitalicio,,Male,27/05/2023,29/04/1976,389982,10,Chile,Swiss Re,30351.34,Mensual,12.8
2853,Vitalicio,,Male,23/05/2020,02/05/1962,534528,8,Mexico,Hannover Re,15431.17,Anual,23.1
2854,Temporal,5,Female,23/06/2020,21/04/1966,389354,6,Chile,Lloyds,10227.48,Semestral,15.9
2855,Temporal,4,Male,21/10/2020,25/02/1953,507682,3,Brasil,Everest Re,15571.3,Trimestral,12.8
2856,Temporal,1,Female,03/04/2021,29/12/1965,362104,2,Colombia,Berkshire Re,10885.96,Mensual,7.7
2857,Vitalicio,,Male,20/02/2023,17/03/1980,74471,6,Uruguay,Berkshire Re,44155.31,Mensual,21.3
2858,Temporal,4,Female,05/10/2022,01/01/1969,81175,5,Colombia,Hannover Re,37960.02,Trimestral,9.6
2859,Vitalicio,,Female,02/06/2020,17/05/1951,887303,10,Colombia,Swiss Re,1694.5,Trimestral,15.6
2860,Temporal,2,Female,07/11/2024,28/05/1965,632121,6,Chile,SCOR,16845.45,Mensual,11.1
2861,Temporal,2,Male,07/08/2022,06/08/1958,602871,1,Colombia,Partner Re,692.52,Semestral,6.1
2862,Temporal,3,Male,09/12/2024,27/03/1958,20094,8,Brasil,Everest Re,5139.61,Semestral,10.4
2863,Vitalicio,,Female,24/04/2020,23/11/1978,689975,10,Brasil,Swiss Re,33736.73,Mensual,17.4
2864,Temporal,5,Male,26/03/2020,16/10/1981,207247,4,Chile,Everest Re,13871.36,Mensual,14.5
2865,Temporal,4,Male,21/03/2024,07/11/1977,286495,5,Chile,Munich Re,15363.67,Semestral,9.2
2866,Temporal,5,Female,01/09/2024,19/12/1953,982138,8,Ecuador,Munich Re,18649.28,Mensual,12.4
2867,Vitalicio,,Male,06/09/2020,03/04/1971,750700,10,Argentina,Swiss Re,42743.45,Semestral,5.1
2868,Temporal,2,Female,19/10/2023,07/06/1957,702087,4,Chile,Everest Re,20014.27,Trimestral,15
2869,Temporal,4,Female,20/05/2023,02/05/1978,460370,3,Ecuador,Swiss Re,31413.3,Anual,22.9
2870,Vitalicio,,Male,26/11/2021,04/02/1967,438656,8,Argentina,Everest Re,30373.05,Semestral,22.2
2871,Temporal,2,Male,25/07/2021,02/10/1959,436583,7,Chile,Munich Re,35312.85,Semestral,7.2
2872,Temporal,4,Male,18/05/2024,04/10/1976,854688,4,Colombia,Swiss Re,20395.87,Anual,23.3
2873,Temporal,3,Female,19/02/2024,21/12/1984,905661,8,Uruguay,Lloyds,41672.73,Semestral,20.7
2874,Temporal,2,Male,10/10/2023,10/05/1984,761380,9,Brasil,Munich Re,15185.9,Semestral,5.8
2875,Temporal,3,Male,14/08/2024,26/12/1978,834637,2,Mexico,Partner Re,15785.9,Semestral,12.1
2876,Temporal,3,Female,25/01/2020,24/07/1962,594130,3,Brasil,Lloyds,5727.7,Trimestral,12.9
2877,Temporal,5,Female,08/03/2021,17/10/1959,529331,9,Argentina,SCOR,20618.25,Trimestral,22.7
2878,Vitalicio,,Female,24/01/2023,25/05/1966,981667,1,Colombia,Berkshire Re,46864.75,Mensual,6.2
2879,Vitalicio,,Male,02/06/2023,04/09/1981,435672,9,Argentina,Berkshire Re,26864.27,Anual,16.3
2880,Vitalicio,,Female,16/12/2022,05/10/1961,885055,2,Brasil,Berkshire Re,14155.8,Anual,11.7
2881,Temporal,2,Male,12/09/2021,08/07/1984,647159,1,Ecuador,Partner Re,38493.86,Trimestral,22.5
2882,Vitalicio,,Female,25/06/2022,16/01/1950,372779,1,Mexico,Hannover Re,33898.32,Trimestral,10.8
2883,Temporal,2,Male,10/11/2021,29/04/1989,692017,7,Ecuador,Partner Re,39232.14,Semestral,11.4
2884,Vitalicio,,Male,06/02/2023,16/08/1983,14116,9,Uruguay,SCOR,43973.5,Anual,23.9
2885,Temporal,2,Female,16/01/2023,08/06/1966,236142,3,Ecuador,Lloyds,25964.01,Mensual,6.5
2886,Temporal,1,Female,21/10/2024,27/04/1990,60544,8,Chile,Berkshire Re,44690.1,Trimestral,10
2887,Vitalicio,,Female,25/09/2022,15/07/1972,625102,7,Peru,Munich Re,34567.19,Mensual,17.4
2888,Vitalicio,,Male,03/10/2020,26/05/1965,33561,6,Ecuador,Swiss Re,5796.55,Anual,8.3
2889,Vitalicio,,Male,24/06/2020,20/08/1982,289665,1,Brasil,Berkshire Re,8391,Mensual,19.6
2890,Temporal,5,Female,15/05/2020,20/02/1960,658798,10,Brasil,Lloyds,45660.48,Anual,24.7
2891,Vitalicio,,Male,28/07/2023,29/07/1988,212260,7,Brasil,Berkshire Re,44721,Trimestral,20.3
2892,Temporal,3,Female,30/10/2022,28/06/1979,159565,7,Uruguay,Munich Re,7008.32,Semestral,6.1
2893,Vitalicio,,Female,31/03/2023,14/03/1950,739634,2,Argentina,Lloyds,5601.9,Mensual,22
2894,Temporal,3,Female,24/03/2022,15/05/1971,546231,6,Chile,Munich Re,7758.56,Mensual,15.8
2895,Vitalicio,,Male,23/10/2023,19/01/1984,68230,9,Mexico,Munich Re,38216.11,Semestral,24.5
2896,Temporal,1,Male,29/04/2021,19/09/1983,633558,6,Chile,Berkshire Re,4384.48,Semestral,10.1
2897,Vitalicio,,Male,24/06/2021,07/02/1966,36410,4,Brasil,Lloyds,26566.67,Anual,8.5
2898,Vitalicio,,Female,10/12/2024,16/04/1974,888075,7,Uruguay,Swiss Re,21397.58,Anual,11.2
2899,Vitalicio,,Female,21/09/2024,24/04/1974,273058,10,Brasil,Berkshire Re,48065.66,Trimestral,14.3
2900,Temporal,3,Female,02/03/2021,27/06/1966,941580,5,Colombia,Lloyds,24175.99,Trimestral,8.1
2901,Vitalicio,,Male,22/11/2023,27/11/1983,530799,8,Peru,SCOR,34423.34,Semestral,15
2902,Temporal,2,Female,07/10/2024,23/12/1957,153655,5,Brasil,SCOR,34042.01,Anual,15.7
2903,Temporal,1,Male,14/01/2020,09/05/1983,667982,9,Peru,Partner Re,42394.97,Mensual,5.4
2904,Vitalicio,,Male,20/01/2020,04/09/1973,157290,4,Argentina,Everest Re,42898.42,Trimestral,6.7
2905,Temporal,2,Female,25/09/2021,26/10/1972,540947,10,Brasil,Partner Re,13943.71,Semestral,23.7
2906,Temporal,3,Female,04/11/2020,17/12/1975,687459,9,Chile,Everest Re,20448.59,Semestral,14.6
2907,Vitalicio,,Female,13/09/2024,18/05/1965,704954,7,Mexico,Munich Re,16971.1,Semestral,18.9
2908,Vitalicio,,Male,21/09/2022,11/05/1961,933908,7,Brasil,Swiss Re,9860.12,Mensual,19.1
2909,Vitalicio,,Male,11/03/2020,24/07/1951,811405,3,Uruguay,Swiss Re,37493.39,Mensual,10.5
2910,Vitalicio,,Female,03/06/2020,09/10/1971,29689,10,Chile,Partner Re,2296.87,Trimestral,22.8
2911,Temporal,1,Male,21/07/2023,25/03/1986,376181,2,Uruguay,Lloyds,49735.03,Trimestral,19
2912,Vitalicio,,Female,30/03/2023,29/01/1951,935923,5,Peru,SCOR,24771.2,Trimestral,13.3
2913,Vitalicio,,Male,28/05/2020,27/04/1969,450072,4,Brasil,Hannover Re,32509.22,Semestral,18.5
2914,Temporal,2,Female,24/05/2021,11/06/1952,468105,9,Peru,Partner Re,9375.77,Anual,12
2915,Temporal,1,Male,07/02/2020,27/06/1977,719357,5,Uruguay,Swiss Re,44464.59,Mensual,8.3
2916,Vitalicio,,Male,30/03/2023,19/07/1961,361518,10,Uruguay,Swiss Re,44698.5,Trimestral,10.3
2917,Temporal,5,Male,27/06/2021,30/10/1983,480836,7,Chile,Munich Re,33422.36,Anual,15.8
2918,Vitalicio,,Female,01/01/2020,20/01/1960,218549,9,Argentina,Everest Re,41740.51,Anual,7.1
2919,Temporal,1,Female,05/12/2024,31/12/1985,582255,2,Mexico,Lloyds,40712.31,Mensual,16.4
2920,Temporal,2,Female,03/12/2024,08/04/1960,611733,6,Peru,Munich Re,38175.31,Semestral,23.4
2921,Vitalicio,,Female,04/04/2024,09/11/1971,607600,3,Ecuador,Berkshire Re,49699.16,Mensual,18.9
2922,Vitalicio,,Male,06/10/2020,27/10/1981,261391,8,Colombia,Berkshire Re,13866.13,Semestral,5
2923,Vitalicio,,Female,16/12/2024,10/10/1985,799269,10,Mexico,SCOR,6396.72,Trimestral,10.7
2924,Vitalicio,,Male,23/02/2023,15/05/1972,468713,4,Chile,Munich Re,22885.04,Trimestral,11.1
2925,Vitalicio,,Male,02/04/2022,25/04/1983,876164,10,Uruguay,Partner Re,24993.16,Mensual,15.9
2926,Vitalicio,,Female,03/08/2023,22/02/1964,750078,1,Peru,SCOR,28760.21,Mensual,7.5
2927,Temporal,3,Female,21/02/2021,08/04/1970,580202,2,Argentina,Munich Re,22512.32,Trimestral,15.2
2928,Vitalicio,,Female,16/05/2023,30/11/1970,473302,8,Chile,Berkshire Re,38106.49,Anual,10.3
2929,Temporal,2,Female,13/10/2023,27/10/1974,177315,4,Brasil,Lloyds,39263.37,Semestral,12.3
2930,Temporal,1,Male,01/01/2024,11/12/1976,214510,1,Ecuador,Berkshire Re,20898.19,Anual,5.4
2931,Temporal,4,Female,06/07/2024,10/04/1986,414479,7,Uruguay,Berkshire Re,2327.39,Mensual,20.2
2932,Vitalicio,,Female,29/12/2021,17/09/1977,665517,4,Mexico,Swiss Re,47719.74,Trimestral,19.6
2933,Vitalicio,,Male,14/10/2023,27/01/1956,363976,6,Uruguay,SCOR,35760.27,Semestral,18.9
2934,Temporal,5,Female,07/12/2020,05/05/1988,356152,1,Mexico,Partner Re,12352.53,Mensual,15.8
2935,Temporal,4,Female,07/10/2023,26/11/1957,533790,5,Mexico,Lloyds,6366.47,Semestral,6.2
2936,Vitalicio,,Female,27/01/2023,12/01/1971,47543,5,Chile,Partner Re,4622.6,Mensual,20.5
2937,Vitalicio,,Male,05/11/2021,21/02/1980,542195,4,Chile,Swiss Re,48190.26,Trimestral,15.4
2938,Vitalicio,,Female,31/07/2020,02/12/1960,31749,1,Colombia,Berkshire Re,4978.46,Anual,11.5
2939,Vitalicio,,Male,05/09/2020,06/02/1970,35895,5,Chile,Lloyds,36966.86,Anual,19.8
2940,Vitalicio,,Female,14/12/2021,11/03/1965,729591,4,Ecuador,SCOR,32777.41,Trimestral,17.2
2941,Temporal,4,Female,17/12/2024,02/07/1979,791182,7,Brasil,Swiss Re,43549.99,Mensual,14.1
2942,Temporal,1,Female,22/07/2024,17/11/1977,588858,4,Colombia,Berkshire Re,3845.9,Anual,5.4
2943,Vitalicio,,Male,01/08/2023,17/01/1987,963413,2,Colombia,Swiss Re,29510.04,Anual,13.6
2944,Vitalicio,,Male,15/03/2020,26/03/1964,27732,5,Chile,Partner Re,26312.43,Anual,14.5
2945,Temporal,3,Female,17/03/2020,02/01/1958,947781,1,Uruguay,Berkshire Re,33382.07,Semestral,15.3
2946,Temporal,1,Female,13/11/2020,01/07/1958,772426,10,Argentina,Lloyds,15184.25,Mensual,15.8
2947,Vitalicio,,Male,08/08/2020,24/01/1969,288484,5,Brasil,Hannover Re,45363.93,Semestral,7.4
2948,Vitalicio,,Female,05/12/2022,12/01/1983,971783,9,Colombia,Hannover Re,24520.6,Trimestral,12.6
2949,Temporal,3,Female,03/04/2024,19/06/1955,699443,3,Colombia,Hannover Re,20955.23,Trimestral,19.3
2950,Vitalicio,,Male,21/01/2020,27/06/1970,122383,2,Ecuador,Berkshire Re,32326.07,Mensual,14.1
2951,Temporal,2,Male,04/07/2022,25/10/1986,252132,7,Chile,SCOR,8611.32,Semestral,18.5
2952,Vitalicio,,Female,13/11/2022,26/05/1950,433250,1,Ecuador,Berkshire Re,16144.13,Mensual,6.6
2953,Vitalicio,,Male,24/10/2023,05/03/1961,453740,1,Uruguay,SCOR,9590.5,Anual,21.3
2954,Temporal,5,Female,23/09/2023,11/06/1985,405256,1,Peru,Partner Re,35275.78,Trimestral,14.2
2955,Temporal,1,Female,15/09/2020,18/02/1984,889128,6,Ecuador,Partner Re,36134.39,Semestral,23.3
2956,Vitalicio,,Female,10/01/2022,28/01/1970,819341,9,Ecuador,Munich Re,48177.07,Mensual,6.3
2957,Vitalicio,,Female,15/10/2024,27/01/1959,111202,1,Ecuador,Munich Re,22126.16,Mensual,9.3
2958,Vitalicio,,Male,11/06/2024,21/01/1978,929958,5,Argentina,Hannover Re,36168.58,Semestral,14.3
2959,Temporal,5,Male,15/11/2021,03/06/1957,516682,8,Peru,Everest Re,24327.38,Anual,22.7
2960,Vitalicio,,Male,30/09/2020,10/08/1982,576152,1,Ecuador,Berkshire Re,16307.33,Semestral,8.1
2961,Vitalicio,,Female,01/07/2023,21/06/1962,126741,3,Argentina,Lloyds,48721.04,Mensual,7.7
2962,Vitalicio,,Male,14/11/2023,14/10/1955,735931,4,Uruguay,Munich Re,25413.99,Anual,8.8
2963,Vitalicio,,Female,08/04/2022,23/08/1986,745320,1,Colombia,Berkshire Re,9056.1,Anual,5.5
2964,Vitalicio,,Female,17/01/2020,14/02/1987,214719,8,Brasil,Everest Re,19388.81,Trimestral,10.9
2965,Temporal,1,Female,07/06/2022,20/03/1957,154331,9,Chile,Partner Re,7871.34,Semestral,10.2
2966,Temporal,2,Male,17/08/2021,31/10/1960,785662,3,Mexico,Berkshire Re,7608.79,Mensual,14
2967,Temporal,2,Female,05/06/2021,15/12/1959,181766,2,Brasil,Lloyds,9159.85,Semestral,21.1
2968,Temporal,1,Male,13/12/2024,12/03/1961,373302,1,Uruguay,Berkshire Re,7490.27,Semestral,20.9
2969,Temporal,4,Male,21/12/2023,31/10/1986,150418,8,Peru,SCOR,32969.14,Mensual,12.1
2970,Vitalicio,,Female,26/02/2023,03/09/1990,759773,3,Brasil,Hannover Re,18971.86,Semestral,10.2
2971,Vitalicio,,Male,29/04/2020,11/09/1969,79282,6,Uruguay,Berkshire Re,42290.22,Anual,20.8
2972,Temporal,3,Male,21/12/2021,11/07/1971,577464,6,Colombia,Hannover Re,30698.69,Anual,24.3
2973,Vitalicio,,Male,28/02/2022,23/07/1980,246234,4,Peru,Swiss Re,46425.83,Mensual,12
2974,Temporal,2,Male,10/01/2023,05/08/1954,30530,7,Colombia,Munich Re,34850.38,Semestral,23.8
2975,Temporal,1,Male,28/12/2021,17/08/1985,470049,3,Peru,Everest Re,41978.03,Semestral,7.7
2976,Vitalicio,,Female,12/08/2022,05/07/1975,693533,2,Peru,Berkshire Re,7105.33,Anual,23
2977,Vitalicio,,Female,23/12/2021,02/02/1963,152225,8,Uruguay,Partner Re,10184.05,Semestral,6.4
2978,Vitalicio,,Male,13/01/2021,28/05/1979,377592,4,Colombia,Munich Re,30410.43,Anual,11.1
2979,Vitalicio,,Female,18/12/2021,14/05/1972,511106,5,Ecuador,Hannover Re,49939.99,Trimestral,10.4
2980,Vitalicio,,Female,05/08/2024,04/02/1955,66070,4,Uruguay,Swiss Re,35749.79,Trimestral,8.5
2981,Vitalicio,,Male,15/12/2023,30/03/1976,799227,4,Chile,SCOR,22974.62,Semestral,17.8
2982,Temporal,1,Female,23/06/2021,23/04/1955,514058,4,Argentina,Partner Re,4298.83,Semestral,7.2
2983,Vitalicio,,Female,24/03/2023,10/11/1969,340154,9,Uruguay,Everest Re,25282.45,Trimestral,24
2984,Vitalicio,,Male,18/11/2023,12/05/1957,660366,8,Uruguay,Lloyds,4805.74,Semestral,10.5
2985,Vitalicio,,Male,18/03/2023,17/03/1967,609065,8,Peru,Partner Re,22965.98,Semestral,15.2
2986,Vitalicio,,Male,08/06/2020,29/08/1985,256138,3,Ecuador,Munich Re,24882.57,Trimestral,5.6
2987,Vitalicio,,Male,04/08/2023,09/02/1950,483747,9,Mexico,SCOR,22584.51,Trimestral,12.9
2988,Vitalicio,,Male,23/07/2023,06/10/1977,636172,5,Brasil,Swiss Re,18705.99,Anual,13.9
2989,Temporal,2,Female,19/04/2021,19/03/1983,269555,9,Chile,Hannover Re,24388.77,Anual,9.9
2990,Temporal,3,Female,23/07/2023,04/11/1967,105270,8,Ecuador,Hannover Re,19008.71,Trimestral,15.6
2991,Temporal,1,Male,20/07/2022,29/09/1977,166370,1,Chile,SCOR,37517.72,Semestral,19.2
2992,Vitalicio,,Male,29/09/2024,16/10/1968,615032,2,Ecuador,Swiss Re,1409.62,Mensual,6.2
2993,Vitalicio,,Male,20/06/2022,05/12/1978,753458,1,Argentina,SCOR,21844.8,Trimestral,24.3
2994,Temporal,1,Female,27/07/2022,08/03/1955,923335,9,Chile,Partner Re,2055.7,Anual,23.1
2995,Vitalicio,,Male,17/02/2023,25/02/1951,785538,1,Peru,Swiss Re,45707.15,Semestral,8.8
2996,Vitalicio,,Female,02/08/2024,29/04/1988,23789,6,Argentina,Munich Re,10652.61,Mensual,10.1
